Date;GPR_RUSSIA;GPR_INDIA;GPR_BRAZIL;GPR_CHINA;GPR_SAUDI_ARABIA;GPR_VENEZUELA
jun/05;"69,18795169";"82,01752794";"100,4941891";"93,11712531";"93,00732664";"99,97176585"
jul/05;"87,73838455";"89,08687592";"127,6127641";"91,16948761";"122,6727363";"91,41525431"
ago/05;"76,01707968";"89,15924543";"117,5791075";"76,05936171";"96,60477984";"90,92849776"
set/05;"72,75528876";"84,30660453";"97,17749167";"75,64210267";"75,22879342";"77,2303809"
out/05;"78,4900019";"81,10981579";"64,80602854";"74,28450006";"69,51455057";"63,24517928"
nov/05;"79,86095826";"68,42239439";"83,2139666";"75,55350978";"89,11132731";"88,81823004"
dez/05;"63,92010921";"77,56970468";"84,24611216";"82,55643206";"74,11477818";"84,80198687"
jan/06;"83,56321833";"78,35076523";"126,9058713";"82,42491885";"98,16440117";"112,6043507"
fev/06;"66,24968954";"83,33933554";"79,02563412";"87,35769427";"101,3886086";"81,65833275"
mar/06;"96,25186536";"82,3321446";"76,01940944";"83,79107772";"81,25635687";"49,33439421"
abr/06;"82,32020782";"82,5306989";"82,8704007";"90,24679285";"78,94584159";"101,9747014"
mai/06;"87,3978362";"78,78028256";"117,1071128";"89,19166176";"79,10796037";"98,53568744"
jun/06;"75,30768423";"68,96665544";"50,05964786";"74,26293389";"50,51230318";"79,22290879"
jul/06;"114,3784285";"96,99766641";"65,97666717";"101,6720835";"159,113755";"90,05017585"
ago/06;"85,20941661";"86,69569342";"104,7939444";"86,32895455";"113,1685387";"103,8093288"
set/06;"81,21064328";"81,83489163";"98,44549944";"82,35077599";"101,8340984";"86,94499737"
out/06;"96,94549898";"75,55535871";"86,8293729";"113,3980631";"78,06446856";"71,67786985"
nov/06;"83,89102781";"74,31990435";"84,83698281";"87,56648388";"109,5228609";"118,7499038"
dez/06;"80,99453452";"83,06426918";"121,557348";"82,65005364";"131,3398318";"99,36571128"
jan/07;"83,79232732";"68,1160751";"93,7981992";"94,11879949";"118,7947409";"81,00989169"
fev/07;"98,18578798";"76,52117489";"98,06154005";"85,16199737";"114,4471638";"61,65838267"
mar/07;"76,78416982";"66,2400656";"127,8283439";"78,30931271";"125,8149683";"83,53823681"
abr/07;"98,03969197";"82,36333811";"81,34132267";"93,95314002";"105,1670532";"86,38904838"
mai/07;"103,0932623";"74,12396394";"96,76918288";"81,88005314";"113,4144166";"115,3838881"
jun/07;"97,68294279";"77,90183598";"69,91079743";"78,50877667";"86,41440222";"76,95939711"
jul/07;"85,59987364";"70,75897422";"88,98753668";"75,48002695";"117,3527452";"62,81880729"
ago/07;"78,97138279";"74,73427013";"64,11122049";"76,28907942";"130,3937756";"64,24784676"
set/07;"72,91155409";"87,85422732";"54,76825517";"95,80457077";"117,7520948";"64,80464946"
out/07;"76,32440405";"78,51413006";"85,3661116";"97,03443622";"110,9057895";"72,65975848"
nov/07;"77,89881154";"86,05216132";"80,27971412";"75,28851882";"110,0500216";"119,8547988"
dez/07;"94,05776071";"84,53098516";"70,83323028";"74,36395406";"79,90469796";"118,1357485"
jan/08;"75,57149758";"70,47841647";"89,98706921";"74,14583315";"87,7565943";"98,55707105"
fev/08;"88,77983867";"66,86021099";"68,72762411";"75,93087453";"70,15347107";"84,96768767"
mar/08;"75,06693452";"77,44869588";"102,4152645";"96,78660349";"98,51145313";"171,2657067"
abr/08;"76,44549179";"66,03749531";"105,5663813";"93,20297285";"71,27285979";"65,6034741"
mai/08;"84,74020202";"94,29690923";"107,0912291";"108,6022837";"97,74288189";"95,23979939"
jun/08;"58,04535536";"74,3397264";"79,5018194";"83,7834093";"61,42500452";"99,62947161"
jul/08;"81,71204008";"91,56151136";"96,40911151";"89,69793645";"75,88290863";"117,455333"
ago/08;"154,7885659";"100,7307832";"66,93635837";"70,8930634";"75,69777525";"77,48958903"
set/08;"130,6183127";"83,51542884";"129,8744297";"87,39167332";"71,80843101";"142,0283717"
out/08;"101,5619513";"81,8413629";"98,21349905";"94,17704132";"82,88575785";"85,30258892"
nov/08;"112,1287017";"128,0684826";"140,8093117";"100,9114212";"78,46073489";"101,9555907"
dez/08;"101,3099686";"174,8434013";"112,2452652";"95,03162676";"71,46107002";"85,57459972"
jan/09;"98,94026233";"105,9493861";"98,70456654";"102,0160402";"113,0055913";"127,0653147"
fev/09;"93,5574302";"101,4653979";"100,08505";"101,0321649";"85,23951162";"86,33925233"
mar/09;"97,55140834";"124,2599793";"110,5933519";"105,4900217";"83,60029025";"61,43817416"
abr/09;"112,3440011";"119,7770915";"125,5006516";"98,91713803";"80,86498761";"76,95939711"
mai/09;"89,80722343";"118,662276";"93,39393124";"101,3430293";"68,33778638";"72,0653178"
jun/09;"100,2199218";"82,66729138";"101,9439056";"98,42354387";"101,8709921";"137,3513108"
jul/09;"97,21781779";"70,14154152";"72,74288259";"82,48959135";"72,52611099";"220,643182"
ago/09;"108,9275269";"81,30002306";"104,7537253";"94,76283735";"75,04608603";"115,0179772"
set/09;"99,82546156";"71,72865371";"102,9770173";"93,91259492";"85,57066746";"109,8850163"
out/09;"82,80377641";"95,14541567";"101,4088012";"82,08165721";"63,34739662";"93,58975753"
nov/09;"81,20998262";"86,98948037";"96,67891312";"87,84059131";"87,50432956";"121,0239411"
dez/09;"96,94549898";"94,3839334";"90,86726494";"86,01285859";"110,8579441";"114,5287703"
jan/10;"73,76714464";"82,90271819";"95,27040093";"76,43050497";"118,5569349";"107,5168048"
fev/10;"47,67573866";"88,86415873";"66,24467553";"70,80649359";"79,44750048";"89,59733732"
mar/10;"74,48993313";"64,47532654";"79,75080403";"61,94590904";"77,14965057";"74,79429898"
abr/10;"102,1576226";"66,18482527";"84,63797373";"70,96263552";"44,68792537";"72,65975848"
mai/10;"65,53047656";"69,80956578";"84,73268726";"96,43381835";"66,73356502";"93,70179635"
jun/10;"92,94907548";"68,96665544";"73,28203382";"78,15373309";"71,55909618";"99,79460333"
jul/10;"63,6064858";"85,03747247";"58,54719536";"70,26852826";"63,00311729";"99,37808251"
ago/10;"70,43731041";"82,44819045";"62,66956606";"73,72560229";"69,56691644";"100,65403"
set/10;"65,57203228";"76,28034645";"90,64705091";"80,52719915";"77,33453504";"52,70431607"
out/10;"79,52211437";"75,57959198";"156,3541725";"107,5417365";"67,89492559";"105,9585902"
nov/10;"94,15421794";"73,27623582";"112,5721503";"98,35414547";"96,27951122";"57,95232031"
dez/10;"74,63121591";"79,04891807";"100,3188936";"98,81100007";"80,69611681";"143,3557397"
jan/11;"85,31034054";"78,39460731";"112,3551981";"99,18857184";"109,7616385";"71,67786985"
fev/11;"77,90123362";"86,2698996";"94,9316423";"94,92344871";"134,4731339";"138,731361"
mar/11;"117,6705577";"72,86725449";"145,48939";"120,1459178";"158,4630565";"153,9445159"
abr/11;"76,35802376";"65,83126574";"119,7564984";"73,4898985";"116,3022054";"98,13614396"
mai/11;"78,30870993";"92,49019477";"103,6721924";"75,88009162";"130,840158";"94,48446481"
jun/11;"82,69556788";"73,4868613";"118,9989634";"87,07284041";"123,2832821";"150,4175988"
jul/11;"68,54732251";"55,5905655";"61,93227705";"70,24158405";"99,53219741";"99,10244615"
ago/11;"92,26830385";"55,21982063";"114,185483";"93,45006065";"118,0163104";"69,80148583"
set/11;"61,94741302";"78,60606699";"111,9666339";"87,63977805";"110,8828448";"86,6553352"
out/11;"66,87363564";"76,68741694";"109,6717406";"97,84836556";"120,4718431";"59,81067286"
nov/11;"91,70520173";"70,54886833";"97,06857925";"102,9477742";"112,0416261";"75,32250731"
dez/11;"103,7802083";"65,24823504";"111,4406396";"104,1283549";"109,6784512";"103,098306"
jan/12;"106,5302993";"75,00199435";"86,88782266";"97,93979571";"100,629979";"80,06570569"
fev/12;"158,4409253";"98,73489544";"83,62470221";"131,482617";"129,5640577";"106,2809794"
mar/12;"124,9138465";"69,13059699";"104,0112637";"108,1312118";"127,7094819";"81,02715723"
abr/12;"104,0515738";"77,70197165";"98,70456654";"105,4434865";"115,5559567";"112,3105477"
mai/12;"105,1917267";"69,46035187";"76,60984355";"84,96965813";"110,5538571";"113,5377459"
jun/12;"109,9026212";"63,86090143";"85,91900093";"91,8712692";"118,5961118";"90,82164876"
jul/12;"113,7707509";"69,48041079";"51,69067076";"75,83128839";"100,5812478";"75,73510777"
ago/12;"62,18582745";"54,92534171";"45,99399181";"65,50882351";"115,9536765";"71,97777726"
set/12;"82,41619939";"71,45942612";"88,87593386";"101,9830559";"113,8083708";"114,8809695"
out/12;"97,2897351";"66,42782269";"90,7373818";"94,62724165";"122,6727363";"89,51625376"
nov/12;"85,29644204";"64,15721517";"76,37853363";"105,7527274";"113,6024378";"46,74643686"
dez/12;"98,48025622";"58,97087086";"114,6568197";"100,8021107";"117,6596678";"116,3466873"
jan/13;"90,13798932";"87,98950119";"78,22739539";"101,6522251";"104,6551782";"95,20572027"
fev/13;"102,3020456";"111,656186";"128,779864";"146,0013834";"112,8493336";"123,9695543"
mar/13;"85,00440411";"94,18337912";"111,9258019";"114,1311036";"124,2481567";"114,6393691"
abr/13;"113,2432347";"82,35435629";"94,93508522";"120,8827004";"130,5180857";"137,4441628"
mai/13;"114,7911878";"96,30513387";"84,60391418";"99,34631448";"118,5961118";"87,32329322"
jun/13;"115,2201563";"65,57943576";"109,0614845";"107,6963452";"123,6311171";"96,4393158"
